"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2010","2010",98.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2011","2011",99.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2012","2012",99.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2013","2013",101.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2014","2014",100.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2016","2016",103.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2017","2017",105.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2018","2018",109.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2019","2019",111.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2020","2020",114.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2021","2021",122.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUS","Australia","2022","2022",132.1,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2010","2010",90.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2011","2011",92.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2012","2012",94.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2013","2013",95.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2014","2014",97.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2016","2016",101.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2017","2017",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2018","2018",104.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2019","2019",106.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2020","2020",109.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2021","2021",111.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","AUT","Austria","2022","2022",116.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2010","2010",93,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2011","2011",94.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BEL","Belgium","2012","2012",96.5,,
