"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2017","2017",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2018","2018",84.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2019","2019",85,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2020","2020",85.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2021","2021",85.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2010","2010",44.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2011","2011",45.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2012","2012",45.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2013","2013",45.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2014","2014",45.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2015","2015",45.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2016","2016",45.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2017","2017",45.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2018","2018",45.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2019","2019",45.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2020","2020",46.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2021","2021",46.2,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2010","2010",26.2,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2011","2011",26.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2012","2012",26.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2013","2013",26.5,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2014","2014",26.6,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2015","2015",26.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2016","2016",26.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2017","2017",26.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2018","2018",27,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2019","2019",27.1,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2020","2020",27.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2021","2021",27.4,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2010","2010",21.8,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2011","2011",22,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2012","2012",22,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2013","2013",22.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2014","2014",22.2,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2015","2015",22.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2016","2016",22.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2017","2017",22.3,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2018","2018",22.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2019","2019",22.7,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2020","2020",23,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","2021","2021",23,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2010","2010",10.1,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2011","2011",10.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2012","2012",10.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2013","2013",10.2,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2014","2014",10.3,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2015","2015",10.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2016","2016",10.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2017","2017",10.4,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2018","2018",10.6,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2019","2019",10.7,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2020","2020",10.9,,
"EVIEFE80","Females at age 80","EVIDUREV","Years","AUS","Australia","2021","2021",10.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2010","2010",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2011","2011",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2012","2012",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2013","2013",80.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2014","2014",80.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2015","2015",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2016","2016",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2017","2017",80.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2018","2018",80.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2019","2019",80.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2020","2020",81.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2021","2021",81.3,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2010","2010",41,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2011","2011",41.3,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2012","2012",41.4,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2013","2013",41.5,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2014","2014",41.6,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2015","2015",41.7,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2016","2016",41.8,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2017","2017",41.8,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2018","2018",42.1,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2019","2019",42.2,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2020","2020",42.5,,
"EVIEHO40","Males at age 40","EVIDUREV","Years","AUS","Australia","2021","2021",42.6,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2010","2010",23,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2011","2011",23.2,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2012","2012",23.3,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2013","2013",23.4,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2014","2014",23.5,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2015","2015",23.7,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2016","2016",23.8,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2017","2017",23.8,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2018","2018",24,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2019","2019",24.1,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2020","2020",24.4,,
"EVIEHO60","Males at age 60","EVIDUREV","Years","AUS","Australia","2021","2021",24.5,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2010","2010",18.9,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2011","2011",19.1,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2012","2012",19.1,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2013","2013",19.2,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2014","2014",19.4,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2015","2015",19.5,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2016","2016",19.6,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2017","2017",19.7,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2018","2018",19.9,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2019","2019",20,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2020","2020",20.3,,
"EVIEHO65","Males at age 65","EVIDUREV","Years","AUS","Australia","2021","2021",20.3,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2010","2010",8.5,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2011","2011",8.6,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2012","2012",8.6,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2013","2013",8.6,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2014","2014",8.7,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2015","2015",8.8,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2016","2016",8.9,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2017","2017",8.9,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2018","2018",9.1,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2019","2019",9.2,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2020","2020",9.3,,
"EVIEHO80","Males at age 80","EVIDUREV","Years","AUS","Australia","2021","2021",9.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2010","2010",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2011","2011",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2012","2012",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2013","2013",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2014","2014",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2017","2017",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2018","2018",82.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2019","2019",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2020","2020",83.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2021","2021",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2010","2010",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2011","2011",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2012","2012",83.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2013","2013",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2014","2014",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2015","2015",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2016","2016",84.1,,
