"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2010","2010",1266930.91,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",1331552.39,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",1372073.21,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",1383774.09,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",1478711.23,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",1567955.84,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",1632661.24,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",1672875.44,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",400250,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",407280,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",414700,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",419940,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",425860,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",438540,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",446340,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",457380,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",465820,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",466490,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",474090,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",493130,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",529000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",545900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",558500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",567700,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",577800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",590400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",605200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",621600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",633800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2019","2019",647900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2020","2020",657000,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2021","2021",667600,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2010","2010",1876095,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2011","2011",1907090,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2012","2012",1925240,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2013","2013",1966135,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2014","2014",1994035,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2015","2015",2043710,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2016","2016",2091700,,
