"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2010","2010",2662,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2011","2011",3011,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2012","2012",3179,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2013","2013",3573,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2014","2014",3595,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2015","2015",3751,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2016","2016",3858,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2017","2017",3800,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2018","2018",3958,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2019","2019",4022,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2020","2020",3839,,
"HEDUMEGR","Medical graduates","NOMBRENB","Number","AUS","Australia","2021","2021",3945,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2010","2010",665,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2011","2011",684,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2012","2012",723,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2013","2013",894,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2014","2014",861,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2015","2015",957,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2016","2016",967,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2017","2017",955,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2018","2018",974,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2019","2019",1022,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2020","2020",814,,
"HEDUDNGR","Dentists graduates","NOMBRENB","Number","AUS","Australia","2021","2021",975,,
"HEDUPHGR","Pharmacists graduates","NOMBRENB","Number","AUS","Australia","2010","2010",1964,,
"HEDUPHGR","Pharmacists graduates","NOMBRENB","Number","AUS","Australia","2011","2011",1811,,
"HEDUPHGR","Pharmacists graduates","NOMBRENB","Number","AUS","Australia","2012","2012",1976,,
"HEDUPHGR","Pharmacists graduates","NOMBRENB","Number","AUS","Australia","2013","2013",1973,,
