"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",1345,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",1345,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",1347,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",1359,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",1322,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",1331,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",1353,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2017","2017",1343,"B","Break"
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2018","2018",1354,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2019","2019",1337,,
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUS","Australia","2020","2020",1339,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",986,"B","Break"
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",988,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",983,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",985,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",928,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",937,,
"HOSPGHOS","General hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",938,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",752,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",753,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",746,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",747,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",698,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",701,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",698,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2017","2017",696,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2018","2018",694,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2019","2019",695,,
"HOSPPUHO","Publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2020","2020",697,,
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",115,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",115,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",110,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",109,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",107,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",107,"E","Estimated value"
"HOSPNPHO","Not-for-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",114,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2010","2010",478,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2011","2011",477,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2012","2012",491,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2013","2013",503,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2014","2014",517,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2015","2015",523,"E","Estimated value"
"HOSPFRHO","For-profit privately owned hospitals","NOMBRENB","Number","AUS","Australia","2016","2016",543,"E","Estimated value"
"HOSPTHOS","Hospitals","NOMBRENB","Number","AUT","Austria","2010","2010",270,,
