"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",106253,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",108365,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",110007,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",111167,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",113420,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",114903,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",116078,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",117982,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",118646,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",121567,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",122843,"D","Difference in methodology"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",122684,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",22406,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",22916,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",23562,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",23676,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",24101,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",23996,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",24659,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",24646,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",25079,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",25927,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",26047,"D","Difference in methodology"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",26040,"D","Difference in methodology"
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",55930,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",56932,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",57414,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",58126,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",59474,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",60171,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",60643,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",61745,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",62079,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",63365,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",63844,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",62834,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",9788,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",9654,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",9916,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",9954,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",10318,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",10784,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",10603,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",10680,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",10498,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",10609,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",11054,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",11339,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",18129,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",18863,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",19115,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",19411,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",19527,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",19952,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",20173,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",20911,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",20990,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",21666,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",21898,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",22471,,
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",195504.53,"E","Estimated value"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",194468.63,"E","Estimated value"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",199327.66,"E","Estimated value"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",197982.65,"E","Estimated value"
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",202076,,
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",204824,,
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",205091,,
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",203456,,
"HOEMHEMP","Total hospital employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",196918,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",7833.77,"E","Estimated value"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",7715.03,"E","Estimated value"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",8096.38,"E","Estimated value"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",7564.66,"E","Estimated value"
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",7740,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",7932,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",7921,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",8372,,
"HOEMHPHY","Physicians employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",7501,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",79214.9,"E","Estimated value"
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",79502.14,"E","Estimated value"
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",81763.54,"E","Estimated value"
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",82282.52,"E","Estimated value"
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",84260,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",85670,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",85738,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",85276,,
"HOEMHNUR","Professional nurses and midwives employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",83216,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",1995.29,"E","Estimated value"
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",1761.34,"E","Estimated value"
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",1745.01,"E","Estimated value"
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",1547.29,"E","Estimated value"
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",1470,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",1360,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",1259,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",1128,,
"HOEMHASN","Associate nurses employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",903,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",14325.57,"E","Estimated value"
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",14226.92,"E","Estimated value"
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",13879.27,"E","Estimated value"
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",13150.69,"E","Estimated value"
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",12337,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",12139,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",11584,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",11176,,
"HOEMHHCA","Healthcare assistants employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",10663,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",22898.76,"E","Estimated value"
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",23120.14,"E","Estimated value"
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",23836.18,"E","Estimated value"
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",24042.06,"E","Estimated value"
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",24613,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",25126,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",25104,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",25285,,
"HOEMHOTH","Other health service providers employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",24461,,
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",69236.24,"E","Estimated value"
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",68143.06,"E","Estimated value"
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",70007.28,"E","Estimated value"
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",69395.43,"E","Estimated value"
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",71656,,
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",72597,,
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",73486,,
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",72220,,
"HOEMHOTS","Other staff employed in hospitals","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",70175,,
