"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",20469,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",20893,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",20864,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",21198,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",21151,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",21223,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",21235,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",20485,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",20424,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",23565,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",23845,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",23748,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",23924,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",23823,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",23845,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",23447,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",22552,"E","Estimated value"
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",22648,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",33969,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",33114,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",32651,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",32252,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",32025,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",32002,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",32021,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",31824,"E","Estimated value"
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",32021,"E","Estimated value"
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",1907,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",1945,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",1975,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",2068,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",2100,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",2139,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",2226,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",2269,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",2338,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",2451,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",2499,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",2593,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2022","2022",2637,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",1907,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",1945,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",1975,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",2068,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",2100,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",2139,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",2226,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",2269,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",2338,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",2451,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",2499,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",2593,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","AUT","Austria","2022","2022",2637,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",2173,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",2211,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",2265,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",2357,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",2417,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",2488,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",2608,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",2650,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",2767,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","AUT","Austria","2022","2022",2815,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",5892,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",6178,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",6462,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",6711,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",6973,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",7822,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",8254,,
"MIDWMIDW","Practising midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2019","2019",8416,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",7327,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",7632,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",8000,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",8324,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",8671,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",9757,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",10235,,
"MIDWMIPA","Professionally active midwives","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2019","2019",10501,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",9758,,
"MIDWMILP","Midwives licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",10188,,
