"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",227712,"E; B","Estimated value; Break"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",232321,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",257189,"E; B","Estimated value; Break"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",264876,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",271151,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",279789,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",287405,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",297807,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",309906,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",315017,"E","Estimated value"
"MINUINFI","Practising nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",328982,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",188105,"E; B","Estimated value; Break"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",196004,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",212583,"E; B","Estimated value; Break"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",216865,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",223060,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",231011,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",238468,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",247392,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",259017,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",264939,"E","Estimated value"
"MINUQUAL","Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",277277,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",39607,"E; B","Estimated value; Break"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",36317,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",44606,"E; B","Estimated value; Break"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",48011,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",48091,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",48778,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",48937,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",50415,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",50889,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",50078,"E","Estimated value"
"MINUASSO","Associate Professional nurses, practising","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",51705,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",286706,"E; B","Estimated value; Break"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",290144,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",292758,"E; B","Estimated value; Break"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",297381,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",303435,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",311762,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",319315,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",329729,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",340210,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",344607,"E","Estimated value"
"MINUPANU","Professionally active nurses","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",361332,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",234052,"E; B","Estimated value; Break"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",238520,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",242011,"E; B","Estimated value; Break"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",246606,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",252587,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",260265,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",267786,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",276721,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",286916,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",292186,"E","Estimated value"
"MINUPAPN","Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",307059,"E","Estimated value"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",52654,"E; B","Estimated value; Break"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",51624,"E","Estimated value"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",50747,"E; B","Estimated value; Break"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",50775,"E","Estimated value"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",50848,"E","Estimated value"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",51497,"E","Estimated value"
"MINUPAAP","Associate Professional nurses, professionally active","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",51529,"E","Estimated value"
