"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2010","2010",19237,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",15222,"E; B","Estimated value; Break"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",17097,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",19148,"E; B","Estimated value; Break"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",19655,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",20281,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",20960,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",21656,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",22063,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",22599,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",23446,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",24195,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",20580,"E; B","Estimated value; Break"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",21331,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",21838,"E; B","Estimated value; Break"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",22454,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",23134,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",23842,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",24609,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",25139,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",25845,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",26795,"E","Estimated value"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",27744,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",26196,"B","Break"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",27025,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",27972,"E; B","Estimated value; Break"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",28751,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",29414,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",29995,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",30622,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",31148,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",32258,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",32904,"E","Estimated value"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",33941,"E","Estimated value"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",5579,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",5700,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",5823,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",5918,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",5999,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",6104,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",6194,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",6246,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",6349,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2019","2019",6479,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2020","2020",6516,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2021","2021",6792,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2022","2022",6913,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",12629,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",12845,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",13027,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",13280,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",13508,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",13643,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",13876,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",14084,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",14280,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2019","2019",14554,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2020","2020",14842,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2021","2021",15174,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",17118,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",17702,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",18350,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",18919,,
