"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",74100,"E; B","Estimated value; Break"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",75258,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",77974,"E; B","Estimated value; Break"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",80968,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",83490,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",86550,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",90417,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",93604,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",97039,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2020","2020",100260,"E","Estimated value"
"PHYSMEDE","Practising physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2021","2021",103196,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",78960,"E; B","Estimated value; Break"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",79653,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",82408,"E; B","Estimated value; Break"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",85491,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",87999,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",91341,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",95194,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2018","2018",98395,"E","Estimated value"
"PHYSPAPS","Professionally active physicians","PERSMYNB","Number of persons (head counts)","AUS","Australia","2019","2019",101841,"E","Estimated value"
