"Country_code","Country","Year","Value"
"AUS","Australia",2010,42816.5
"AUS","Australia",2011,44440.5
"AUS","Australia",2012,43884.7
"AUS","Australia",2013,47763.2
"AUS","Australia",2014,47606.8
"AUS","Australia",2015,47226.8
"AUS","Australia",2016,50136.8
"AUS","Australia",2017,50706.5
"AUS","Australia",2018,53025.3
"AUS","Australia",2019,52785.2
"AUS","Australia",2020,55772.7
"AUS","Australia",2021,62095.5
"AUS","Australia",2022,68746.3
"AUT","Austria",2010,42007.3
"AUT","Austria",2011,44452.7
"AUT","Austria",2012,46457.3
"AUT","Austria",2013,47922
"AUT","Austria",2014,48799.7
"AUT","Austria",2015,49865.9
"AUT","Austria",2016,52684
"AUT","Austria",2017,54173
"AUT","Austria",2018,56937.9
"AUT","Austria",2019,59704.2
"AUT","Austria",2020,57258.7
"AUT","Austria",2021,59962.8
"AUT","Austria",2022,69347.4
"BEL","Belgium",2010,39838
"BEL","Belgium",2011,40942.4
"BEL","Belgium",2012,42290.8
"BEL","Belgium",2013,43671.1
"BEL","Belgium",2014,44929.7
"BEL","Belgium",2015,46200.9
"BEL","Belgium",2016,48597.4
"BEL","Belgium",2017,50442.3
"BEL","Belgium",2018,52530.6
"BEL","Belgium",2019,55804.8
"BEL","Belgium",2020,54569.9
"BEL","Belgium",2021,58875
"BEL","Belgium",2022,66245.3
"CAN","Canada",2010,40099.5
"CAN","Canada",2011,41666.7
"CAN","Canada",2012,42290.9
"CAN","Canada",2013,44298.5
"CAN","Canada",2014,45753.8
"CAN","Canada",2015,44670.1
"CAN","Canada",2016,46472.4
"CAN","Canada",2017,48317.2
"CAN","Canada",2018,49992.8
"CAN","Canada",2019,49832.4
"CAN","Canada",2020,47189.1
"CAN","Canada",2021,52996.2
"CAN","Canada",2022,57128.8
"CZE","Czechia",2010,27880.5
"CZE","Czechia",2011,29001.4
"CZE","Czechia",2012,29254.7
"CZE","Czechia",2013,30818.1
"CZE","Czechia",2014,32502.5
"CZE","Czechia",2015,33899.3
"CZE","Czechia",2016,36097.7
"CZE","Czechia",2017,38824.9
"CZE","Czechia",2018,41143.8
"CZE","Czechia",2019,44212.7
"CZE","Czechia",2020,42827.1
"CZE","Czechia",2021,45630
"CZE","Czechia",2022,50781.6
"DNK","Denmark",2010,43000.9
"DNK","Denmark",2011,44403.4
"DNK","Denmark",2012,44804
"DNK","Denmark",2013,46726.9
"DNK","Denmark",2014,47901.4
"DNK","Denmark",2015,49045.3
"DNK","Denmark",2016,51976
"DNK","Denmark",2017,55356.7
"DNK","Denmark",2018,57483
"DNK","Denmark",2019,59910.7
"DNK","Denmark",2020,60832.2
"DNK","Denmark",2021,64883.9
"DNK","Denmark",2022,75377.7
"FIN","Finland",2010,38954.5
"FIN","Finland",2011,40916.8
"FIN","Finland",2012,40873.1
"FIN","Finland",2013,41493.1
"FIN","Finland",2014,41757.4
"FIN","Finland",2015,42497.7
"FIN","Finland",2016,44934.4
"FIN","Finland",2017,47570.1
"FIN","Finland",2018,49579.3
"FIN","Finland",2019,51811.6
"FIN","Finland",2020,52305.3
"FIN","Finland",2021,54706.4
"FIN","Finland",2022,59896.2
"FRA","France",2010,36016.7
"FRA","France",2011,37564.2
"FRA","France",2012,37806.5
"FRA","France",2013,39660.5
"FRA","France",2014,40144
"FRA","France",2015,40850
"FRA","France",2016,42924.6
"FRA","France",2017,44577.1
"FRA","France",2018,46537.5
"FRA","France",2019,50501
"FRA","France",2020,48135
"FRA","France",2021,51352.6
"FRA","France",2022,56205.6
"DEU","Germany",2010,38950.7
"DEU","Germany",2011,42541.5
"DEU","Germany",2012,43359.6
"DEU","Germany",2013,44993.9
"DEU","Germany",2014,47011.6
"DEU","Germany",2015,47609.8
