"Country_code","Country","Year","GDP","GDP_capita"
"AUS","Australia",2010,943.32,42816.5
"AUS","Australia",2011,992.8,44440.5
"AUS","Australia",2012,997.65,43884.7
"AUS","Australia",2013,1104.67,47763.2
"AUS","Australia",2014,1117.6,47606.8
"AUS","Australia",2015,1124.75,47226.8
"AUS","Australia",2016,1212.85,50136.8
"AUS","Australia",2017,1247.09,50706.5
"AUS","Australia",2018,1323.86,53025.3
"AUS","Australia",2019,1337.59,52785.2
"AUS","Australia",2020,1430.87,55772.7
"AUS","Australia",2021,1595.11,62095.5
"AUS","Australia",2022,1785.96,68746.3
"AUT","Austria",2010,351.32,42007.3
"AUT","Austria",2011,373.03,44452.7
"AUT","Austria",2012,391.64,46457.3
"AUT","Austria",2013,406.37,47922
"AUT","Austria",2014,417.06,48799.7
"AUT","Austria",2015,430.98,49865.9
"AUT","Austria",2016,460.28,52684
"AUT","Austria",2017,476.59,54173
"AUT","Austria",2018,503.36,56937.9
"AUT","Austria",2019,530.17,59704.2
"AUT","Austria",2020,510.57,57258.7
"AUT","Austria",2021,537.01,59962.8
"AUT","Austria",2022,622.67,69347.4
"BEL","Belgium",2010,434.06,39838
"BEL","Belgium",2011,451.93,40942.4
"BEL","Belgium",2012,469.72,42290.8
"BEL","Belgium",2013,487.34,43671.1
"BEL","Belgium",2014,503.62,44929.7
"BEL","Belgium",2015,520.88,46200.9
"BEL","Belgium",2016,550.68,48597.4
"BEL","Belgium",2017,573.79,50442.3
"BEL","Belgium",2018,600.27,52530.6
"BEL","Belgium",2019,641.14,55804.8
"BEL","Belgium",2020,629.66,54569.9
"BEL","Belgium",2021,682.14,58875
"BEL","Belgium",2022,769.61,66245.3
"CAN","Canada",2010,1363.58,40099.5
"CAN","Canada",2011,1430.81,41666.7
"CAN","Canada",2012,1468.09,42290.9
"CAN","Canada",2013,1554.12,44298.5
"CAN","Canada",2014,1621.4,45753.8
"CAN","Canada",2015,1594.85,44670.1
"CAN","Canada",2016,1678.09,46472.4
"CAN","Canada",2017,1765.76,48317.2
"CAN","Canada",2018,1852.99,49992.8
"CAN","Canada",2019,1873.76,49832.4
"CAN","Canada",2020,1794.94,47189.1
"CAN","Canada",2021,2026.9,52996.2
"CAN","Canada",2022,2221.28,57128.8
"CZE","Czechia",2010,292.03,27880.5
"CZE","Czechia",2011,304.4,29001.4
"CZE","Czechia",2012,307.49,29254.7
"CZE","Czechia",2013,324.03,30818.1
"CZE","Czechia",2014,342.1,32502.5
"CZE","Czechia",2015,357.5,33899.3
"CZE","Czechia",2016,381.42,36097.7
"CZE","Czechia",2017,411.33,38824.9
"CZE","Czechia",2018,437.36,41143.8
"CZE","Czechia",2019,471.83,44212.7
"CZE","Czechia",2020,458.16,42827.1
"CZE","Czechia",2021,479.38,45630
"CZE","Czechia",2022,534.06,50781.6
"DNK","Denmark",2010,238.56,43000.9
"DNK","Denmark",2011,247.35,44403.4
"DNK","Denmark",2012,250.52,44804
"DNK","Denmark",2013,262.37,46726.9
"DNK","Denmark",2014,270.33,47901.4
"DNK","Denmark",2015,278.75,49045.3
"DNK","Denmark",2016,297.72,51976
"DNK","Denmark",2017,319.13,55356.7
"DNK","Denmark",2018,333.04,57483
"DNK","Denmark",2019,348.35,59910.7
"DNK","Denmark",2020,354.74,60832.2
"DNK","Denmark",2021,380.01,64883.9
"DNK","Denmark",2022,442.72,75377.7
"FIN","Finland",2010,208.93,38954.5
"FIN","Finland",2011,220.47,40916.8
"FIN","Finland",2012,221.29,40873.1
"FIN","Finland",2013,225.68,41493.1
"FIN","Finland",2014,228.06,41757.4
"FIN","Finland",2015,232.87,42497.7
"FIN","Finland",2016,246.93,44934.4
"FIN","Finland",2017,262.03,47570.1
"FIN","Finland",2018,273.46,49579.3
"FIN","Finland",2019,286.08,51811.6
"FIN","Finland",2020,289.22,52305.3
"FIN","Finland",2021,303.13,54706.4
"FIN","Finland",2022,332.32,59896.2
"FRA","France",2010,2334.56,36016.7
"FRA","France",2011,2446.48,37564.2
"FRA","France",2012,2474,37806.5
"FRA","France",2013,2608.52,39660.5
"FRA","France",2014,2662.03,40144
"FRA","France",2015,2718.5,40850
"FRA","France",2016,2864.11,42924.6
"FRA","France",2017,2983.01,44577.1
"FRA","France",2018,3125.38,46537.5
"FRA","France",2019,3403.16,50501
"FRA","France",2020,3252.53,48135
"FRA","France",2021,3479.87,51352.6
"FRA","France",2022,3814.78,56205.6
